mint,token_class,trade_events_5m,priceable_events_5m,sol_priceable_events_5m,quote_priceable_events_5m,unavailable_events_5m,quote_mints,old_sol_unpriceable,quote_rescued,path_conflict_seen,quote_flow_mint_conflict,price_identity,first_price_proxy,current_price_proxy,return_from_t0_bps,drawdown_from_high_bps,strategy_v01_flow_compatible,sol_buy_volume_lamports,sol_sell_volume_lamports,quote_buy_volume_raw,quote_sell_volume_raw,quote_flow_mint
29tQgTCDngnpLWcwmbHW1ekxyQicz8HibgW4ocG9G9G2,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000772498140778416784488546955095300577274086140323766356506843,0.0000772498140778416784488546955095300577274086140323766356506843,0,0,True,205943536,0,205943536,0,11111111111111111111111111111111
2A7A7BbiqcW8NGWrcoMJdQc8biJz9a34tK4SsSVy6PAt,SOL_ONLY,2,2,2,0,0,,False,False,False,False,SOL_NATIVE,0.0000398185803484347806520823459395805127199881265110580750436502,0.0000279589934771668219944082013047530288909599254426840633737185,-2978,-2978,True,5801677355,5801677354,5801677355,5801677354,11111111111111111111111111111111
2ABv5BRk3z6j2anJDJ325MEEhHBYaVebCXJHkadJpump,SOL_ONLY,3,3,3,0,0,,False,False,False,False,SOL_NATIVE,0.0000326143194701147562629904928182913438751260314078676492716263,0.0000301102329043727302222276559320070283515090201494339629049367,-768,-768,True,987654320,4499490663,987654320,4499490663,11111111111111111111111111111111
2AuVf8pvAqqq7LGqYg4H1JsLjrSy198yQEt3rwn5pump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000280186605709544468820469240660430236206351132464379938291503,0.0000280186605709544468820469240660430236206351132464379938291503,0,0,True,0,988275,0,988275,11111111111111111111111111111111
2BQRTS9oQ3JaVVWuL8v2pV81iBxHU9DzLgMhHHufpump,SOL_ONLY,20,20,20,0,0,,False,False,False,False,SOL_NATIVE,0.0000496913504972903435269244967392651214010482972189154703886403,0.0000292463254731718677519926116171349694764792237729877155037792,-4114,-5530,True,12649107126,14586499610,12649107126,14586499610,11111111111111111111111111111111
2BRi28Sem2iDQexhAisj7AFvE49xNV4VXLAZPdw8pump,SOL_ONLY,7,7,7,0,0,,False,False,False,False,SOL_NATIVE,0.0000446433491827206947186667405549814896756352095063148477040043,0.0000479244780295023618356236751480382088461968691680022694277685,735,-244,True,3831188617,487499152,3831188617,487499152,11111111111111111111111111111111
2BfkNAvxhGoR5njN9wfJiyer79fKhbDzkTyKPEa8pump,SOL_ONLY,73,73,73,0,0,,False,False,False,False,SOL_NATIVE,0.0000770679185415472909026783361119251870237277086711252779897180,0.0000392098092570098903357132513302363332893119761945541805801249,-4912,-6487,True,35343973064,36299570768,35343973064,36299570768,11111111111111111111111111111111
2BtGyv45VEBnzxEQKgxQpGx9u4zZdzHxKNQXdhsypump,SOL_ONLY,2,2,2,0,0,,False,False,False,False,SOL_NATIVE,0.0000332807547908418282984857151217848304013290595182028522382103,0.0000338575543804166939036378002027132227381870558124150937321357,173,0,True,1270070283,0,1270070283,0,11111111111111111111111111111111
2C6NBJszGUgiDDSwAzzvWT8kPDBv3aaC2Vh2GZqApump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000305706863260815596144830986506931937662441912465268780970100,0.0000305706863260815596144830986506931937662441912465268780970100,0,0,True,62944553,0,62944553,0,11111111111111111111111111111111
2C7fvHayPvAcWsSXbqU1R71epx2zLDwQAZoGVC3R9Mar,SOL_ONLY,2,2,2,0,0,,False,False,False,False,SOL_NATIVE,0.0000296691355999282793920627286329832347295588177537496934333498,0.0000287597683826847007584544819884984957068994212379499409334559,-307,-307,True,0,1529518583,0,1529518583,11111111111111111111111111111111
2C9GDTkVdZreyPGGh8W11UmFPfzhohtiSLGAfccJS8gt,SOL_ONLY,22,22,22,0,0,,False,False,False,False,SOL_NATIVE,0.0000604992323865564692026603214068608478006525458008120122829288,0.0000350498570848368568269186586148582427838547815659533740113056,-4207,-6034,True,12620433646,15806734746,12620433646,15806734746,11111111111111111111111111111111
2DKyG8vxUCBQvtU88bKYyo4EnaSSCj3hPfZ8X9z4pump,SOL_ONLY,28,28,28,0,0,,False,False,False,False,SOL_NATIVE,0.0000290744554656386233622247850116033315864927404109675699647711,0.0000549621335498591756415588671226834697810334748800026953562419,8904,-80,True,12418902914,356674258,12418902914,356674258,11111111111111111111111111111111
2DVqPwXwS6DghFa9UYvHMaJN8Gq9ysPNQdhPDNmGpump,SOL_ONLY,232,232,232,0,0,,False,False,False,False,SOL_NATIVE,0.0000280695578483894997137723968908091613383966280297857961711824,0.00000196585905813062611295397760582072339888883429908146590691695,-9300,-9495,True,8369762240,7883684402,8369762240,7883684402,11111111111111111111111111111111
2DjMaVtvEp1U56HysTsKH7DEsJWAZ7xk2nffgygvpump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000279591798698353399775127953625282889916166412568836726739147,0.0000279591798698353399775127953625282889916166412568836726739147,0,0,True,100000,0,100000,0,11111111111111111111111111111111
