mint,parameter_set_id,time_segment,first_tradable_observed_at_us,first_tradable_event_at_us,gap_event_count,market_events_available,market_events_processed,transition_count,response_failed_new_low_count,furthest_setup_stage,final_classification,last_reason,clock_expired,impulse_age_ms,impulse_return_bps,impulse_trade_count,impulse_unique_buyers,impulse_3s_buys,impulse_3s_net_flow_lamports,impulse_peak_age_ms,impulse_peak_return_bps,pullback_active_age_ms,impulse_to_pullback_ms,pullback_depth_at_activation_bps,deepest_pullback_depth_bps,pullback_low_age_ms,pullback_low_depth_at_response_bps,response_age_ms,pullback_to_response_ms,response_rebound_bps,response_window_buys,response_window_sells,response_window_net_flow_lamports,response_window_price_change_bps,response_10s_buys,response_10s_sells,response_10s_net_flow_lamports,candidate_age_ms,response_to_candidate_ms,candidate_return_from_t0_bps,candidate_drawdown_from_high_bps,reclaim_extension_bps,runaway_reject_age_ms
ETMYJeCNgm3HW63Z6fSz7Ks6U7KzVcrMWPdE1822pump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077168593967,1787076766000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HpQ7g272RNeDbeCfKEZrBdPJG6bTSHtBtsQddaoipump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077160685063,1787076765000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1VET93pHMiaQbDQEefDfcAkGCQk3yTq7ihg5diCpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077160660691,1787076765000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388MmbRP3mvHyiiNtL5mGcEN3cGrKibj8jUjvRo1yK9W,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077160614547,1787076765000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3cRRwsW47pxYF2pbLKjGJhp1u2nBajfJLgTqeCaBpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077156248769,1787076764000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4eo7RywxSifvBaorqKhr7JE5qYH4Ufc3BAX7NJEwoEuS,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077148238519,1787076764000000,0,2,2,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kRSYfJiDDjbA5B6VtwweBG4RA8moGyTam6fGW5HvDja,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077140968799,1787076763000000,0,9,9,4,0,WAITING_FOR_PULLBACK,EXPIRED,ENTRY_WINDOW_EXPIRED,True,105,576,2,2,2,1981178800,127894,2026,,,,,,,,,,,,,,,,,,,,,,
oou2cQqU3kpWJ23BGMm4BuBbJ72nnEbrfHHioDzanxs,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077136248613,1787076763000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4T1KogxQcpvNKRwr2zbsMbg6hxUp1XNCgPTZGTrBpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077133793631,1787076762000000,0,1,1,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DnsP5EFLTVbFDhRpodTXXrHrW7Hz1LyQfNMgyHCFpump,FP1-RESEARCH-PROBE-LOOSE-0001,5,1787077131229674,1787076762000000,0,2,2,2,0,WAITING_FOR_IMPULSE,EXPIRED,ENTRY_WINDOW_EXPIRED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
