mint,events_available,states_in_entry_window,has_observation_after_entry_window,gap_event_count,first_trade_pump_timestamp_delta_ms,max_return_from_t0_bps,max_drawdown_depth_bps,max_trades_since_t0,max_unique_buyers_since_t0,max_total_volume_since_t0_lamports,max_3s_buys,max_3s_sells,max_3s_net_flow_lamports,max_3s_price_change_bps,max_10s_trades,max_10s_volume_lamports
7jJUtWKJziKAhF9WLmm8Sfni1Xcz82bsYiKPVEeqpump,2,1,True,0,188955,0,0,1,1,8948429,1,0,8948429,0,1,8948429
DTv3pz8peeZkZdvoHxHvJ1JUhty6ts9SGvfC4kGzDnn8,3,3,False,0,188874,538,0,3,2,1892090002,1,0,985679011,0,2,1596415929
FStDTDuGtYYBwVRZ18S6TYcoDiiEqVMiorrK89fqpump,1,1,False,0,170169,0,0,1,0,48888887,0,1,-48888887,0,1,48888887
SndJGLp57MtRWUrDDhZGT2p4mxmMsV7eyDoQkgMpump,2,2,False,0,167573,0,859,2,0,2904866036,0,2,-1516587097,0,2,2904866036
CDhGbKqXPEgh9PvwwwsVaPTJ7XwFh8Jpo7XzY6Zdpump,5,5,False,0,163184,1706,1732,5,3,6608978154,2,1,2962962961,1306,4,5588992994
4guznapky4xswi8Qoc16HGf3k3hoFD7yEbKxEZyGpump,1,1,False,0,161754,0,0,1,0,5438561,0,1,-5438561,0,1,5438561
HCnZgsFH45ZGR9irM6D5R2dTdFF2hcHBc9XeRXDcpump,1,1,False,0,158893,0,0,1,0,9876541,0,1,-9876541,0,1,9876541
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,78,33,True,0,156523,,0,33,5,0,2,2,0,,4,0
V8pwrntDFeYXVDDSS3H5NygoudcHbToB8Q37mQFpump,2,1,True,0,146365,0,0,1,0,176446402,0,1,-176446402,0,1,176446402
HQ9bG7FeTWVbFvKEvXonjHc5CJVjVFNXG8tveE9icyvZ,1,1,False,0,138466,0,0,1,1,147407406,1,0,147407406,0,1,147407406
CpxmLWH1bN8Mddbj1WX583BoJrwAQTucvDFe6eBhpump,6,4,True,0,129978,180,4,4,3,2215056263,1,1,1783060921,0,2,1982989419
5MHeqv63kDyREwMxGSbxG6w1tNR4jePekNMbP1NfNmca,1,1,False,0,127704,0,0,1,0,81846356,0,1,-81846356,0,1,81846356
GtVFV7BQzhUtEeBW3Qr7pzw4hgw6xBhUGnKDPbWXpump,27,24,True,0,125900,215,4616,24,7,433238832,4,3,58202304,274,5,74065543
PeBVYRsRQZAiUoSnBXXhX5E9HUgBZyDURWrerYcYgiz,12,2,True,0,117112,0,61,2,0,500044342,0,1,-150899032,0,1,349145310
