mint,event_key,signature,event_type,observed_at_utc,observed_at_us,source_decoded_file,diagnosis,sol_amount_lamports,quote_amount_raw,virtual_sol_reserves,virtual_token_reserves,virtual_quote_reserves,real_sol_reserves,real_token_reserves,real_quote_reserves,quote_mint,ix_name,full_current_tail_decoded
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,4ZWZUvn5NrztgczYJ88qQwPWMyxxax7UwQerw6LAbsR9XupUohE6powmzdsvHNQxdMKi7YGxkPRo4Y9RbEoxgxpX:0:bddb7fd34ee661ee,4ZWZUvn5NrztgczYJ88qQwPWMyxxax7UwQerw6LAbsR9XupUohE6powmzdsvHNQxdMKi7YGxkPRo4Y9RbEoxgxpX,BUY,2026-08-18T18:16:48.324484+00:00,1787077008324484,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,2272615,0,1050363139973227,2807714547,0,770463139973227,82013499,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,5mbpQUr62bhbfKoukQXA1M5nuzfetA7Er25DrMqeNHh3e1wjDjXrDZiAJWLhErTbciLUUKYVNezzemzX5JVZEGrB:0:bddb7fd34ee661ee,5mbpQUr62bhbfKoukQXA1M5nuzfetA7Er25DrMqeNHh3e1wjDjXrDZiAJWLhErTbciLUUKYVNezzemzX5JVZEGrB,SELL,2026-08-18T18:16:55.840952+00:00,1787077015840952,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,28499689,0,1061134176189180,1850271788,0,781234176189180,53513810,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,sell,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,4AY5orjgrdWgxWppYqcaAPGWXvMzZtNB1bnLEdxuVF3rN8mYZpK2vqbgDYV6mgTYajvmMqG2k2ntdJ3CEzMykLNV:0:bddb7fd34ee661ee,4AY5orjgrdWgxWppYqcaAPGWXvMzZtNB1bnLEdxuVF3rN8mYZpK2vqbgDYV6mgTYajvmMqG2k2ntdJ3CEzMykLNV,SELL,2026-08-18T18:17:08.930201+00:00,1787077028930201,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,14898243,0,1069747701171757,1345680566,0,789847701171757,38615567,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,sell,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,33rSv96V76hoxLxw1fgmtixG6LZdbeMt9PrsYVJgrJwfZgPSKzAnJN6nBBARaHNqdBQxrvEnXL7MUarrmCTTpidV:0:bddb7fd34ee661ee,33rSv96V76hoxLxw1fgmtixG6LZdbeMt9PrsYVJgrJwfZgPSKzAnJN6nBBARaHNqdBQxrvEnXL7MUarrmCTTpidV,BUY,2026-08-18T18:17:25.031636+00:00,1787077045031636,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,2606550,0,1067679632110353,1433816557,0,787779632110353,41222117,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,2ucfqUVFu84TUQYSUjeK3BdWmCNFGrWZqpLiysV6aXDfZChB7kbnrz9tUEfEv6RgzJZDVtv6thQe4HR4ziPwpmxb:0:bddb7fd34ee661ee,2ucfqUVFu84TUQYSUjeK3BdWmCNFGrWZqpLiysV6aXDfZChB7kbnrz9tUEfEv6RgzJZDVtv6thQe4HR4ziPwpmxb,BUY,2026-08-18T18:17:30.578579+00:00,1787077050578579,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,2366149,0,1065920601672733,1513691578,0,786020601672733,43588266,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,mmzNKvW87G3ZwqyinpVDGuBNsMHqr4vab7cpYyZ3qt4EwRdBFCDSyW2pbKjL4rRZ3D33GhB4ysbDHQCPYHwNunS:0:bddb7fd34ee661ee,mmzNKvW87G3ZwqyinpVDGuBNsMHqr4vab7cpYyZ3qt4EwRdBFCDSyW2pbKjL4rRZ3D33GhB4ysbDHQCPYHwNunS,BUY,2026-08-18T18:17:47.071984+00:00,1787077067071984,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,3356296,0,1063562373489546,1626742939,0,783662373489546,46944562,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,4ZjzKfvokuT6SYBS84nGWwCVvKvrggf9wAPqfSTLvcAtT6ZJaABk1a2CFpESytFWqiF1HoBTDMqqdd1LsibS18EB:0:bddb7fd34ee661ee,4ZjzKfvokuT6SYBS84nGWwCVvKvrggf9wAPqfSTLvcAtT6ZJaABk1a2CFpESytFWqiF1HoBTDMqqdd1LsibS18EB,BUY,2026-08-18T18:18:08.071206+00:00,1787077088071206,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,14557508,0,1054129111109784,2112838759,0,774229111109784,61502070,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,26XRfhRt6m9WkVM1Zri1iRkhdcseBXy713wNtEebq8aSnGTr8ioBUGiwfrrdfcUH6Hoc4CoLz7s5wtUzTyQzFQRx:0:bddb7fd34ee661ee,26XRfhRt6m9WkVM1Zri1iRkhdcseBXy713wNtEebq8aSnGTr8ioBUGiwfrrdfcUH6Hoc4CoLz7s5wtUzTyQzFQRx,SELL,2026-08-18T18:18:23.203601+00:00,1787077103203601,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,6629922,0,1057447298138183,1890835891,0,777547298138183,54872148,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,sell,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,MwepsbgeHZF5LebrxPpnam9tZudjBiD8jZo7kB8S351TTeVyZBb2FeJYpZFMmZuaTYB3BPqKBu2cqWwcJTMj4DM:0:bddb7fd34ee661ee,MwepsbgeHZF5LebrxPpnam9tZudjBiD8jZo7kB8S351TTeVyZBb2FeJYpZFMmZuaTYB3BPqKBu2cqWwcJTMj4DM,BUY,2026-08-18T18:18:30.530380+00:00,1787077110530380,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,7591303,0,1053218849547239,1898427194,0,773318849547239,62463451,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,buy_exact_quote_in,True
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,2SSNBmz39Zbac2aMQaETFJqDvAmQJ3AcUsu7vW6NMNYwdsGeF9ZMVPPaMZrhCC6K6tWUTvAnTcXq4mHzHVx5xSQF:0:bddb7fd34ee661ee,2SSNBmz39Zbac2aMQaETFJqDvAmQJ3AcUsu7vW6NMNYwdsGeF9ZMVPPaMZrhCC6K6tWUTvAnTcXq4mHzHVx5xSQF,SELL,2026-08-18T18:18:30.868577+00:00,1787077110868577,LIVE_WEBSOCKET_EVENT_V0_3_3,QUOTE_RESERVE_FALLBACK_CANDIDATE,0,14553983,0,1061355559705566,1466972732,0,781455559705566,47909468,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,sell,True
