mint,t0_observed_at_us,t0_observed_at_utc,trade_events_5m,root_class,quote_candidate_events,unresolved_events,diagnosis_counts_json,quote_mints_json,ix_names_json,tail_decode_json
DSfdRypRgQPZVr2ZxR6ptXScwyrrxXucz2ureJwxpump,1787070435747691,2026-08-18T16:27:15.747691+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""sell"":1}","{""True"":1}"
3irwwygERj5x2c1JzDoWd2zf5CsRqsLQPXjNNw6dpump,1787070329556745,2026-08-18T16:25:29.556745+00:00,15,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,15,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":15}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":15}","{""buy"":9,""sell"":6}","{""True"":15}"
HPH3EjMym2Vr3adP1CKeJK4Ld4fQnW6YQ1aeEZrypump,1787070278749487,2026-08-18T16:24:38.749487+00:00,7,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,7,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":7}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":7}","{""buy"":4,""sell"":3}","{""True"":7}"
Ctjry6kB8utFuouYvMpW2J2gjnezLsSN2aVeDXtupump,1787070216574164,2026-08-18T16:23:36.574164+00:00,5,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,5,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":5}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":5}","{""buy_exact_quote_in"":4,""sell"":1}","{""True"":5}"
JD5QLvR5ecdyWAHBHwJcGsE8FsR6Hq3JB2tS9CHzpump,1787070198311944,2026-08-18T16:23:18.311944+00:00,12,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,12,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":12}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":12}","{""buy"":3,""buy_exact_quote_in"":4,""sell"":5}","{""True"":12}"
9fsqYWLdNaGWyTpy8tir1bQEKAbEbppTpNDvdELepump,1787070128644000,2026-08-18T16:22:08.644000+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""buy_exact_quote_in"":1}","{""True"":1}"
4U9uLk4XCxeTBrAuTUHMB1aQsoiZFBUhwVdEwCBNpump,1787070046833762,2026-08-18T16:20:46.833762+00:00,6,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,6,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":6}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":6}","{""buy"":3,""buy_exact_quote_in"":1,""sell"":2}","{""True"":6}"
841YJhMLjQ3Qowdbkm6G1S43yyAZ42BA413nR2wpump,1787070026049996,2026-08-18T16:20:26.049996+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""sell"":1}","{""True"":1}"
2PmSh2PePhFx7hrYm3qdisAkUf6nR8chXkvc9hXHpump,1787069961567561,2026-08-18T16:19:21.567561+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""sell"":1}","{""True"":1}"
4yDJAJ9GVdkUWFP9aCGQcAzWdB8eKjyxKEN2kviFpump,1787069820457998,2026-08-18T16:17:00.457998+00:00,11,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,11,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":11}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":11}","{""buy"":4,""buy_exact_quote_in"":3,""sell"":4}","{""True"":11}"
