mint,first_tradable_observed_at_us,first_tradable_observed_at_utc
2SYyejdvTU8wF12HWCxDfvP9QEyh2WCX73tnyohCpump,1787064296991226,2026-08-18T14:44:56.991226+00:00
2SfHDNT6ReUjyZdXUkL4MNMkrsR38d3f7dRnYmfxpump,1787067270534792,2026-08-18T15:34:30.534792+00:00
2TDMnabsjqxjuM279NdqQsZg67jfyvq4AkzVQ9Wtpump,1787064816842353,2026-08-18T14:53:36.842353+00:00
2TeeNpNVkSW5qBjhPveUomtQWz3jjKQ4QVYXjierpump,1787066347546325,2026-08-18T15:19:07.546325+00:00
2UdWPq4SvnFrUJtcmdiHt54JbYTMkavd446LZdHDpump,1787076738559451,2026-08-18T18:12:18.559451+00:00
2UsK2vWVrTWCfunALiP3GHnfuVLjpn69jXERu1mcpump,1787069546580278,2026-08-18T16:12:26.580278+00:00
2UyZU554RYa9egtZTLSut5iD83RQ87i1s9Cf6w9fpump,1787066925714437,2026-08-18T15:28:45.714437+00:00
2VLVnUfyU4UNvbZCZUfVRLGJKQRJS9UQ5mRSswwgpump,1787076735559613,2026-08-18T18:12:15.559613+00:00
2VetcYWpyKqQM6kAyhjmYpoXMxD7wpSS5CynQy2Tpump,1787064282972603,2026-08-18T14:44:42.972603+00:00
2VuKtZLaS35WeYDeCKDE1Zq7gFYBb6C5dnFY9BrFpump,1787068909192444,2026-08-18T16:01:49.192444+00:00
2WABzMSjRid2KbiGFZULAGcWDKp4XtbsFvFmKCEvpump,1787071459191634,2026-08-18T16:44:19.191634+00:00
2WZ9NhG21zSHhP76JaUqLLn8yzrCWzdnzW844K4ipump,1787064132350036,2026-08-18T14:42:12.350036+00:00
2X2sJp18RuuvfrGc2ELNiBLBPhbnNJ8tmHAV5Y1ipump,1787067785652911,2026-08-18T15:43:05.652911+00:00
2XLD5y5d1Bdx5rpDxhX3xzLCDdav3gw8gAasxAGSGFAE,1787065057506729,2026-08-18T14:57:37.506729+00:00
2XPEEaReZv6rYSaGpu1RsUt1B4wYqGvkj7quMhnSmMG6,1787070424631840,2026-08-18T16:27:04.631840+00:00
2XUvCZufBzSn4p8gWL8yBVBvS8K3iamiGBDYk7N6pump,1787069530867409,2026-08-18T16:12:10.867409+00:00
2Y1JBRVQ1vWnGnd4H7gipn6eKK8yMFNJntE5GLWxpump,1787069041259234,2026-08-18T16:04:01.259234+00:00
2YXmiK5j35EFLxDYczMrK9Tw6fjnwmCE3qh5sBzYpump,1787065337250974,2026-08-18T15:02:17.250974+00:00
2ZJdKnQUuKBtVir6nJ8nim78Pk83niEPWjbmq1oBpump,1787071471815474,2026-08-18T16:44:31.815474+00:00
2ZVi18VfBqE6hwMSzjp1UMojPcD84S15FF49FFGmpump,1787068906460710,2026-08-18T16:01:46.460710+00:00
2Zdt9AyfpuuPPcA6hDPLGCGo3vY5ECcjHNQn1zczpump,1787074444999643,2026-08-18T17:34:04.999643+00:00
2Zt5ZgqBw5NxwXRSaUfnk4EDR3xA7RP1bUsDnVtmdrUG,1787070459562675,2026-08-18T16:27:39.562675+00:00
2aKq3qxC6CRu6L2waXKTkrre91o8jHj4Pak9NGcKpump,1787074078727097,2026-08-18T17:27:58.727097+00:00
2aP9mKoc7Jb88En1FwQxkuzMM2TyB9LpaVPiFaqepump,1787064287263744,2026-08-18T14:44:47.263744+00:00
2aSKQADskXMk1c8vDCEJ19SxdB2gVbksWJvqgg4kpump,1787066943193118,2026-08-18T15:29:03.193118+00:00
2apyTAKUwX6dj1RkMN4MWNQ2uLus1L7NWAYfua93pump,1787075298029718,2026-08-18T17:48:18.029718+00:00
2aqgFb1zBex3vh5Nj8yhmCAWMjPMjsKJy9Jy6t7Kpump,1787071186013299,2026-08-18T16:39:46.013299+00:00
2avcWDF5UCvYCsqmtHVLw4XRKcv83G4Dh1ietBJppump,1787064162318427,2026-08-18T14:42:42.318427+00:00
2b36Lsh2BcqdV8jhSfwkb8dxAeCtohXuLHLRqwQrpump,1787064234633400,2026-08-18T14:43:54.633400+00:00
2baicCwq8XaXZsni2jt9ofaBiNsCtFsjT5vHZUscpump,1787077039432875,2026-08-18T18:17:19.432875+00:00
2bkD3Jghyczm6CousJCJ9TbVqNjXJoL7nPH7YqXEpump,1787070668068132,2026-08-18T16:31:08.068132+00:00
2c7mZmonAP2NTCKsXoH4JdsZQb4XuY92CNfPx1sBpump,1787066414821312,2026-08-18T15:20:14.821312+00:00
2c9gwfXJUmigzNNJBeUCUTfug25g594g3sY8sUs4pump,1787069900603725,2026-08-18T16:18:20.603725+00:00
2cCEhCXK6Hn3x2QWT78y3Nci1gV2wNn98zpQfLiGpump,1787066928223329,2026-08-18T15:28:48.223329+00:00
2cPtCR16CgmuHWu1YZqmQXdA3DbMVe9oKsfg7JDopump,1787065941890687,2026-08-18T15:12:21.890687+00:00
2chAqtRahMc2H4FbPsrBtjAYVNZzg9KTEfXRTeYSpump,1787076752394767,2026-08-18T18:12:32.394767+00:00
2cjqf45A6MXLs2nV567W891VX4FRrj5iKsmeKmoFpump,1787071437583522,2026-08-18T16:43:57.583522+00:00
2d8ogfJb23HeDEQbJ1P26qz1bz6hUvX22LNDv2PZpump,1787064010254298,2026-08-18T14:40:10.254298+00:00
2dLcVwY8syb6e3f9CxNsRhGH3HTsYypESt623Q12pump,1787065519631009,2026-08-18T15:05:19.631009+00:00
2dTWhrw39Z3CaMsaYL7zm2uhnzegRNDJje2AnPPLpump,1787066161294193,2026-08-18T15:16:01.294193+00:00
2dY1HxXdKtxoD2Nb973UiFFVSVzwSn2kHAQzwi6mpump,1787075852384831,2026-08-18T17:57:32.384831+00:00
2ddhqw3g6FbYTq4XrR3uivEZx3aACcGVkAuuUf6voWAd,1787070224090059,2026-08-18T16:23:44.090059+00:00
2diUc6WN1DPsVZHLovYdApc3Ark3VRiVhinyGj4Lpump,1787074345719098,2026-08-18T17:32:25.719098+00:00
2dto74vSx8fKJRUsgzg6RzV1zg8SgBSrbYnS6PSCpump,1787071242165425,2026-08-18T16:40:42.165425+00:00
2dzZSSdexa6H2uXWvJbYrpiH6UbTjPaXwuVBNinGpump,1787064035507027,2026-08-18T14:40:35.507027+00:00
2e1RHfYkxo4HbHQgNHWt8gsFuEvpnb7L6VYSgeHopump,1787064184017782,2026-08-18T14:43:04.017782+00:00
2eTsHrcsxWxpnwFVEGwEutdRySEy44mnzgZ54JfHpump,1787066293963524,2026-08-18T15:18:13.963524+00:00
2ehtSdNHenE9BcFs7PCxHoqCkKkVbozfHy3LwM7Lstc3,1787068676497912,2026-08-18T15:57:56.497912+00:00
2fBCPCSyUE4XxoahSh4skAPJXQ7EHZKF2zp1nqQzpump,1787066708456344,2026-08-18T15:25:08.456344+00:00
2fJR1wYfqxR4GywVbccPj5V7tf8B9XtQx56RepCfpump,1787066526180684,2026-08-18T15:22:06.180684+00:00
2fQCsHfwPwe4Bsu7HAKVa1Ey9NBmct1sWi7LD5nxpump,1787069467462402,2026-08-18T16:11:07.462402+00:00
2fV7DyyqEf2ZDrYUT471Kwa6q8zNa83nqnE2P5mzpump,1787064046077800,2026-08-18T14:40:46.077800+00:00
2fiKhURGnu7c4Cz1CrouaTvfbcDXMmcZdnKyHoPupump,1787064038507595,2026-08-18T14:40:38.507595+00:00
