parameter_set_id,combo_index,ab_role,ab_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,min_rebound_bps,min_buys,min_net_flow_reserve_ppm,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier
FP1-EXP0004-C-032-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU2-FL6000,32,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,2,6000,3901,152,3680,68,1,0,152,3901,95,-252,220,1171,88,-539,133,1177,43,-586,391,1535,14,-503,1121,3620,12,-3839,-2772,3759,6,-6374,-5760,-2551,6,88,133,43,391,False
FP1-EXP0004-C-033-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU2-FL30000,33,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,2,30000,3901,117,3710,74,0,0,117,3901,78,-356,195,1304,68,-969,133,1284,34,-484,144,1469,9,1121,2131,6535,6,-2772,-2584,3349,2,-2551,-2551,2478,2,68,133,34,144,False
FP1-EXP0004-C-034-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU2-FL93000,34,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,2,93000,3901,53,3768,80,0,0,53,3901,36,-1324,690,1722,30,-1382,144,1639,16,-2001,477,1187,6,314,356,3046,3,-2772,-236,2213,0,,,,0,30,144,16,477,False
FP1-EXP0004-C-035-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU2-FL185000,35,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,2,185000,3901,19,3799,83,0,0,19,3901,13,-326,18,860,9,-1128,-569,193,4,-8072,-2083,-622,3,-5793,-2581,-77,2,-4375,-4375,-779,0,,,,0,9,-569,4,-2083,False
FP1-EXP0004-C-036-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU3-FL0,36,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,3,0,3901,129,3701,70,1,0,129,3901,87,-288,195,1149,79,-398,133,1177,41,-374,208,1245,11,-2581,1657,7333,8,-4507,-2768,7115,3,-6374,-5760,-2736,3,79,133,41,208,False
FP1-EXP0004-C-037-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU3-FL6000,37,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,3,6000,3901,118,3709,73,1,0,118,3901,84,-291,262,1149,75,-1214,166,1215,38,-586,256,1469,11,-2581,1657,7333,8,-4507,-2768,7115,3,-6374,-5760,-2736,3,75,166,38,256,False
FP1-EXP0004-C-038-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU3-FL30000,38,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,3,30000,3901,98,3726,77,0,0,98,3901,68,-380,135,1225,61,-969,133,1215,32,-958,256,1176,9,-595,1876,6535,6,-2768,1544,7134,1,-2736,-2736,-2736,1,61,133,32,256,False
FP1-EXP0004-C-039-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU3-FL93000,39,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,3,93000,3901,47,3774,80,0,0,47,3901,35,-1442,668,1722,29,-1382,305,1639,16,-2118,249,1119,6,-2581,314,3046,3,-4375,-236,2213,0,,,,0,29,305,16,249,False
FP1-EXP0004-C-040-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU3-FL185000,40,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,3,185000,3901,17,3801,83,0,0,17,3901,12,-613,18,860,8,-1748,-569,193,4,-8072,-2083,-622,3,-5793,-2581,-77,2,-4375,-4375,-779,0,,,,0,8,-569,4,-2083,False
FP1-EXP0004-C-041-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU4-FL0,41,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,4,0,3901,92,3730,78,1,0,92,3901,70,-281,370,1149,60,-1214,120,1177,30,-586,33,1320,10,-3380,-595,5769,7,-3144,4418,7195,2,-6374,-6374,-3113,2,60,120,30,33,False
