mint,first_tradable_observed_at_us,trade_events_5m,priced_trade_events_5m,unpriced_trade_events_5m,first_trade_priceable,any_priceable_trade_5m,price_coverage_class,return_from_t0_metric_available,short_window_price_metric_available,gap_event_count,reserve_defect_codes
9caYv4QJPXPNBG8ghnbLdXowyuVzfVkB8Y4a4umpump,1787076813200179,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
HYcZNR8fUdUFSAW2PmgivxuQU2avfUwX6XmeQKPepump,1787076798197776,50,50,0,True,True,FULLY_PRICED_5M,True,True,0,
7De9qBYKGiqnJA3dU6Pv9sjZyvXecdZNfRK8dNtpump,1787076795776241,1,0,1,False,False,NO_PRICED_TRADES_5M,False,False,0,VIRTUAL_SOL_NONPOSITIVE
CXt2iDWiovFYk4fTMnx5wEve98fQGfBgiqmfvVxHpump,1787076791189570,4,4,0,True,True,FULLY_PRICED_5M,True,True,0,
AXF1HmVmXa2d7WJzANJpERtdTSegsw9kBHdgK3H1pump,1787076788568616,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
6pMDSx3dC9gAFgFyb19DgaBpdP2q1mv3w4Gj4sRn5n4X,1787076785957575,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
4tDwumTUKbNMskmbYy31fTJ16a1Aeb9KszNWxsiNpump,1787076780921528,6,6,0,True,True,FULLY_PRICED_5M,True,True,0,
gRrXUqdki1PQ5UC7EP64v6wjUvEfftEN98VDHexpump,1787076776706717,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
43dbNPdxKfU3ZkJteR9U84dGGc4SkGcVDLjEzU3gpump,1787076770860729,5,5,0,True,True,FULLY_PRICED_5M,True,True,0,
8P3CGNvDiKnS2AeVq8UsYoKyNLRUg2Ym3RgZESpgpump,1787076768813863,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
BhK74qDZfCkrGQcCg2dDs7zzBHqfozanGWdCqaoFpump,1787076766818542,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
4abDctU61kwGd6DnTdBaoiMhqWigzKtzRnvvJSXjpump,1787076762473765,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
Vy4ubHnSteumfeo9wfTakoXgzuaARAu4JuQAuhFpump,1787076762430766,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
6GjaJ5K56DRhyv9P2x9piKPVywstfyj6wiqXTYxspump,1787076761058765,98,98,0,True,True,FULLY_PRICED_5M,True,True,0,
3KmQM1KsU9s6GQtas4WqbpdinXnQJoviqP1zEh94pump,1787076758113669,12,12,0,True,True,FULLY_PRICED_5M,True,True,0,
HxDaK1KV9z8thXN6qudgL9KY65X9zBsSZgekK6Hjpump,1787076758042668,19,0,19,False,False,NO_PRICED_TRADES_5M,False,False,0,VIRTUAL_SOL_NONPOSITIVE
8NXGEqwWMNKxv4HuGyAB4tyuc6xDrb44TToRB2Ddpump,1787076755603301,24,24,0,True,True,FULLY_PRICED_5M,True,True,0,
HPympp8tJvsgGphbHy41MiB2R3eYezLgZoXRontGpump,1787076755507302,6,6,0,True,True,FULLY_PRICED_5M,True,True,0,
HNsS8GcTpK77erjuHRMEXeE3aJ8zXhNywehLjfzDpump,1787076753933559,25,25,0,True,True,FULLY_PRICED_5M,True,True,0,
2sgCEaV8PdZ4GTwYBLKPMABdmZvPrSPdpMhrdtT8pump,1787076752814768,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
6JrhJ1TqGga75G2iw8PzdXrJwqm7qunTjRAymsTipump,1787076752733769,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
EzL6hy8z79dv674kGipoL8VnEokQ5931iMk6Hj2zcN15,1787076752622769,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
FX3KeFPPMcXB644Jg9rymb1Y1rs1aGD4CCGxxftqpump,1787076752509768,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
2chAqtRahMc2H4FbPsrBtjAYVNZzg9KTEfXRTeYSpump,1787076752394767,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
5boMjDyxC7JFJNyJSpatdatWeFAjwHwSQfjcFT9jpump,1787076750942013,5,5,0,True,True,FULLY_PRICED_5M,True,True,0,
Ht4jGHzj6ySM4EMvffNF4bY3iwKLvACETAyG5hwPpump,1787076749909278,5,5,0,True,True,FULLY_PRICED_5M,True,True,0,
