parameter_set_id,abc_role,min_extension_from_response_bps,max_extension_from_response_bps,candidate_count,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,neighbor_count,neighbor_15s_median_of_medians_bps,neighbor_30s_median_of_medians_bps
FP1-EXP0005-D-078-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC500-RW2000,ROBUST_3,500,2000,18,10,274,8,-327,3,274,-327
FP1-EXP0005-D-079-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC500-RW2500,ROBUST_3,500,2500,19,10,274,8,-327,4,274,-327
FP1-EXP0005-D-080-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC500-RW3000,ROBUST_3,500,3000,22,11,274,10,-327,4,274,-327
FP1-EXP0005-D-081-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC500-RW7000,ROBUST_3,500,7000,23,11,274,10,-327,4,274,-327
FP1-EXP0005-D-082-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC500-RW10000,ROBUST_3,500,10000,23,11,274,10,-327,3,274,-327
FP1-EXP0005-D-083-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC700-RW2000,ROBUST_3,700,2000,16,10,274,8,-338,3,274,-338
FP1-EXP0005-D-084-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC700-RW2500,ROBUST_3,700,2500,17,10,274,8,-338,4,274,-338
FP1-EXP0005-D-085-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC700-RW3000,ROBUST_3,700,3000,20,11,274,10,-338,4,274,-338
FP1-EXP0005-D-086-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC700-RW7000,ROBUST_3,700,7000,21,11,274,10,-338,4,274,-338
FP1-EXP0005-D-087-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC700-RW10000,ROBUST_3,700,10000,21,11,274,10,-338,3,274,-338
FP1-EXP0005-D-088-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC800-RW2000,ROBUST_3,800,2000,16,10,250,8,-338,2,262,-338
FP1-EXP0005-D-089-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC800-RW2500,ROBUST_3,800,2500,17,10,250,8,-338,3,250,-338
FP1-EXP0005-D-090-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC800-RW3000,ROBUST_3,800,3000,20,11,250,10,-338,4,262,-338
FP1-EXP0005-D-091-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC800-RW7000,ROBUST_3,800,7000,21,11,250,10,-338,4,250,-338
FP1-EXP0005-D-092-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC800-RW10000,ROBUST_3,800,10000,21,11,250,10,-338,3,250,-338
FP1-EXP0005-D-093-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC2500-RW3000,ROBUST_3,2500,3000,8,4,636,5,748,2,31,94
FP1-EXP0005-D-094-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC2500-RW7000,ROBUST_3,2500,7000,12,6,-188,6,526,3,250,526
FP1-EXP0005-D-095-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC2500-RW10000,ROBUST_3,2500,10000,12,6,-188,6,526,3,-188,-338
FP1-EXP0005-D-096-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC7100-RW10000,ROBUST_3,7100,10000,3,3,-809,2,-3261,1,-188,526
