parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,candidate_count,rejected_count,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier,neighbor_count,neighbors_with_15s_median,neighbor_15s_p50_median_bps,neighbor_15s_p50_min_bps,neighbor_15s_p50_max_bps,neighbors_with_30s_median,neighbor_30s_p50_median_bps,neighbor_30s_p50_min_bps,neighbor_30s_p50_max_bps
FP1-EXP0002-A-139-R5500-T5-B5,5500,5,5,68,0,36,201,20,297,False,6,6,201,150,238,6,297,22,390
FP1-EXP0002-A-140-R5500-T5-B9,5500,5,9,54,0,34,238,18,390,False,5,5,238,201,247,5,390,297,392
FP1-EXP0002-A-141-R5500-T7-B1,5500,7,1,93,0,46,238,25,331,False,5,5,201,150,238,5,297,-583,331
FP1-EXP0002-A-142-R5500-T7-B2,5500,7,2,87,0,45,238,24,297,False,6,6,219,150,238,6,297,-583,331
FP1-EXP0002-A-143-R5500-T7-B3,5500,7,3,80,0,43,238,22,297,False,6,6,238,201,247,6,297,-583,297
FP1-EXP0002-A-144-R5500-T7-B5,5500,7,5,68,0,36,201,20,297,False,6,6,219,150,238,6,297,22,390
FP1-EXP0002-A-145-R5500-T7-B9,5500,7,9,54,0,34,238,18,390,False,5,5,238,201,247,5,390,297,392
FP1-EXP0002-A-146-R5500-T24-B1,5500,24,1,59,0,32,196,18,238,False,4,4,196,0,238,4,238,-338,331
FP1-EXP0002-A-147-R5500-T24-B2,5500,24,2,59,0,32,196,18,238,False,5,5,196,0,238,5,238,-338,297
FP1-EXP0002-A-148-R5500-T24-B3,5500,24,3,58,0,31,238,18,238,False,5,5,196,196,238,5,238,-338,297
FP1-EXP0002-A-149-R5500-T24-B5,5500,24,5,55,0,29,238,17,238,False,5,5,201,196,241,5,238,-338,331
FP1-EXP0002-A-150-R5500-T24-B9,5500,24,9,47,0,27,241,15,331,False,4,4,238,238,247,4,267,22,390
FP1-EXP0002-A-151-R12500-T2-B1,12500,2,1,54,1,27,150,11,-583,False,3,3,150,150,238,3,-583,-583,297
FP1-EXP0002-A-152-R12500-T2-B2,12500,2,2,49,1,26,150,11,-583,False,4,4,195,150,247,4,-583,-583,297
FP1-EXP0002-A-153-R12500-T2-B3,12500,2,3,43,1,23,247,10,-583,False,4,4,194,150,247,4,-280,-583,297
FP1-EXP0002-A-154-R12500-T2-B5,12500,2,5,33,1,17,150,8,22,False,4,4,224,150,247,4,159,-583,392
