parameter_set_id,combo_index,a_role,a_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier
FP1-EXP0003-B-042-ROBUST_1-R1500-T5-U9-PD6000-9000,42,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,6000,9000,3901,16,3883,2,0,0,16,3901,13,62,300,610,12,-1427,559,1020,7,-835,392,1564,1,44102,44102,44102,1,14761,14761,14761,0,,,,0,12,559,7,392,True
FP1-EXP0003-B-043-ROBUST_2-R2000-T3-U5-PD1000-3500,43,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,1000,3500,3901,81,3694,126,0,0,81,3901,52,-382,130,662,50,-809,123,865,20,5,297,869,7,-2746,2965,7437,6,-3839,11,4192,2,-8364,-8364,-3863,2,50,123,20,297,False
FP1-EXP0003-B-044-ROBUST_2-R2000-T3-U5-PD1000-5500,44,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,1000,5500,3901,102,3735,64,0,0,102,3901,69,-281,264,790,63,-402,201,923,30,-253,331,1142,13,-253,1121,4048,11,-2772,-253,4192,4,-8364,-3863,-2342,4,63,201,30,331,False
FP1-EXP0003-B-045-ROBUST_2-R2000-T3-U5-PD1000-6000,45,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,1000,6000,3901,104,3744,53,0,0,104,3901,70,-281,261,790,64,-402,201,865,31,-253,331,1142,13,-253,1121,4048,11,-2772,-253,4192,4,-8364,-3863,-2342,4,64,201,31,331,False
FP1-EXP0003-B-046-ROBUST_2-R2000-T3-U5-PD1000-6500,46,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,1000,6500,3901,105,3752,44,0,0,105,3901,71,-281,261,790,65,-350,201,865,32,-286,297,872,14,-2376,900,4048,11,-2772,-253,4192,4,-8364,-3863,-2342,4,65,201,32,297,False
FP1-EXP0003-B-047-ROBUST_2-R2000-T3-U5-PD1000-9000,47,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,1000,9000,3901,114,3782,5,0,0,114,3901,74,-114,261,662,68,-350,201,865,33,-253,331,872,14,-2376,900,4048,11,-2772,-253,4192,4,-8364,-3863,-2342,4,68,201,33,331,True
FP1-EXP0003-B-048-ROBUST_2-R2000-T3-U5-PD2500-3500,48,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,2500,3500,3901,21,3712,168,0,0,21,3901,14,26,188,1089,16,-11,247,1215,8,22,529,2378,2,4048,4048,7437,1,4192,4192,4192,0,,,,0,16,247,8,529,False
FP1-EXP0003-B-049-ROBUST_2-R2000-T3-U5-PD2500-5500,49,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,2500,5500,3901,51,3760,90,0,0,51,3901,38,5,195,631,34,-152,247,923,22,-621,468,1271,8,-253,1121,4048,6,-2584,-2446,4192,2,-2551,-2551,3614,2,34,247,22,468,False
FP1-EXP0003-B-050-ROBUST_2-R2000-T3-U5-PD2500-6000,50,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,2500,6000,3901,54,3772,75,0,0,54,3901,39,5,195,631,35,-152,407,923,23,-621,468,1271,8,-253,1121,4048,6,-2584,-2446,4192,2,-2551,-2551,3614,2,35,407,23,468,False
FP1-EXP0003-B-051-ROBUST_2-R2000-T3-U5-PD2500-6500,51,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,2500,6500,3901,57,3784,60,0,0,57,3901,41,5,195,631,38,-152,247,923,25,-621,468,872,10,-2584,900,4048,7,-2772,-2446,4192,3,-8588,-2551,3614,3,38,247,25,468,True
