policy_id,policy_fingerprint,family,timeout_origin,timeout_ms,timeout_seconds,tp_bps,sl_bps,trailing_activation_bps,trailing_giveback_bps
TP10_SL40_T60S,5aa930e09a084e9693f6badfee19d49aeac067a57f789bc41cdd39ed514758dd,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,1000,4000,,
TP10_SL40_T120S,e531c2ee4768f4f2f80b3b2fec723b5a9763efff7bbda6a1b5cb64c4afe83fee,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,1000,4000,,
TP15_SL10_T15S,684f52dd74557005c4abd5bb6c68718b7b592f9133bfa0e5b9643b040cf3b883,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,1500,1000,,
TP15_SL10_T30S,e9c30648408d339301d83583cba69f9f1f58be322464247365a180f13d81916f,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,1500,1000,,
TP15_SL10_T60S,cc79ec1d8d735b60cf38dd7bc704080a7d20ab3d1ff225d9a090255963d453a5,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,1500,1000,,
TP15_SL10_T120S,366bbd90be9ce5fff6c11c0834dd8087ac9910899eb5db383a6c608788279e09,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,1500,1000,,
TP15_SL15_T15S,3a86cbd50109803537a8529ca8e87127eaf81966ed7856f1c9ae9a60ef954fca,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,1500,1500,,
TP15_SL15_T30S,3043c713d0c966689793bf14b1da6403f981ec1994df4b92e61b91d1feb724b7,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,1500,1500,,
TP15_SL15_T60S,8cd73897925e2dc151d978c8432a015d1f11fd0b0b0491e23760c84711d68e20,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,1500,1500,,
TP15_SL15_T120S,dd03c51d078182928be53f2acb3e67959735db275b90f35ed2267bc68841e603,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,1500,1500,,
TP15_SL20_T15S,78bb302d71db9b3a67bcb9bae3290077c257823a1b058206c9bbf7c8e9204416,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,1500,2000,,
TP15_SL20_T30S,11fba0a285874623cb5a6ad2e9026e91905cfe592fa219082b47c593316d0f1b,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,1500,2000,,
TP15_SL20_T60S,ea5842a345389a858af47afeff15d38f1e9299c54a009843916930d19b72076a,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,1500,2000,,
TP15_SL20_T120S,d408cc7d6e47871e559313fa889a96991f973e07e0f6b37cd6a1ea8f7af3dde1,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,1500,2000,,
TP15_SL25_T15S,bd4d7dbbc1b759dca93c489cb952c9453d9de8e164a51ee36f12a29f76c33faa,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,1500,2500,,
TP15_SL25_T30S,868122e80cd2926f276082d108411e338ad6cddca340fa940cec66b150e10543,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,1500,2500,,
TP15_SL25_T60S,f5caaac0181765bd5bd440b690a87179d767246488a437584b3ec557deea575a,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,1500,2500,,
TP15_SL25_T120S,95798508fdabb3b9e8a62479c779871728e0d6e6e66faf5ce2edf236478911d8,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,1500,2500,,
TP15_SL30_T15S,686135c75a98b3a9c6c18930b3eaeed16fba08dceac07e8f977de9a5e57252a0,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,1500,3000,,
TP15_SL30_T30S,f8cfccfd946f55b5cfe813922ffa7c4b6c7575be01545a3dc0bea671922c2c45,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,1500,3000,,
TP15_SL30_T60S,bcb7d7cf73234ce8624174b65935620a433b0b003d511e8d694501593c152de7,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,1500,3000,,
TP15_SL30_T120S,66f97067b84f24d30fc6ac645cfbd4b18e222ba6b1f94c583cff8453849dfb7d,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,1500,3000,,
TP15_SL40_T15S,388dbee8a793c1f8752e3abd56692cd6d3dd24dc208fe8a7a807a94410f37f6f,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,1500,4000,,
TP15_SL40_T30S,94e980b829c6e3e8eeb96a5b656868e73037ac2501c05b44a82419b4ae0c2a52,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,1500,4000,,
TP15_SL40_T60S,cee397c211ce4e44be92cbe54209cc85bf812be9f54e004668a7aa49ea26f753,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,1500,4000,,
TP15_SL40_T120S,81257ec1a3befae19103511471e1f54bfab2fa1050ca7bab6cf08ac72991c85f,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,1500,4000,,
TP20_SL10_T15S,d889c217ffe2d6f88e5163a5ce06a2d35dbd8edcf1c4019a7c2b56259fa1068b,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,2000,1000,,
TP20_SL10_T30S,fa930c2ea747f58e365fdc6560e35cab81c730ebf3c68c530a97f621cac0f773,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,2000,1000,,
TP20_SL10_T60S,aa5f91115c0b066ab7f8e858b4d9ae82aed30e7674708bc8d315da8bb1437b90,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,2000,1000,,
TP20_SL10_T120S,9151b950cdd6d4beb1e37fbed2fba355dd8d0ae8b1547cc207f75cf7dce09a61,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,2000,1000,,
TP20_SL15_T15S,3611223b6f2585460ecfbdd062cb1125cb509019fc539791ec195306db7a33e1,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,2000,1500,,
TP20_SL15_T30S,d50bb388e4e200ee773b4b1ae53b8619237cb80e1ca1ae65544977a8c871427a,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,2000,1500,,
TP20_SL15_T60S,a80282d44af3a106b0b9d7441bacff90a56b835da67729261fb9f0e976cc49c6,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,2000,1500,,
TP20_SL15_T120S,a9fa035d8de4fbf1f9cb9767cec408d0e10277a2793972ee17c1c496f60b8a1f,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,2000,1500,,
TP20_SL20_T15S,e8d9171ae0081b544cf687bb535cf814c816b107f5fa71a0d1a892919c2c5403,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,2000,2000,,
TP20_SL20_T30S,449cc1868a62ffdd3e06a30937198a1bc960faf84fbfe532e9d5492b23d90744,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,2000,2000,,
TP20_SL20_T60S,f096fbda9d00ffd2e6a170ad830d64462fef2e2a6037ff3c6d053121422e46f8,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,2000,2000,,
TP20_SL20_T120S,f5c6ec6025036407e2f818ba39e3008e11342b7edd4b7ad9396c3429fda44605,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,2000,2000,,
TP20_SL25_T15S,65a0a2ee417a7c669cb73bfe2737ff10a0afdb5dd91faf41cfb1ea99ec2a5461,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,2000,2500,,
TP20_SL25_T30S,220385d707ee45b4ed9e1d4f1c61d5fe5e868ba0e010802cb6a6d9b4d387d287,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,2000,2500,,
TP20_SL25_T60S,a45dd8cbbe35c85a942754395f7816a8e454776443cbdf43c7cfff640d5ef31c,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,2000,2500,,
TP20_SL25_T120S,d5281aa32bac89cab14c758b4cc18efc94a3e9f22fa7dad599c93b681609ee3e,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,2000,2500,,
TP20_SL30_T15S,51e7d7a6c44520894d1ee68eef20cad1c04e43ff5c8a9dfc71676ac01b91af6f,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,2000,3000,,
TP20_SL30_T30S,f2dd7ecd66f437b94537e00d903ad55080be844b8aac19bbf36c7ea7c3d9a537,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,2000,3000,,
TP20_SL30_T60S,c4bc85ff89e3b28f414d46482da9391571a5be0ebd760d7195585087d7103f82,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,2000,3000,,
TP20_SL30_T120S,bacd23e4f89729b75ebd5ae41a3fe7652ee60613e72abc25ff478b5faa52c0fa,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,2000,3000,,
TP20_SL40_T15S,3b879b11ed55fc78347abae72338527d26a6334933410fb1902b8b1cd6dcf7e6,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,2000,4000,,
TP20_SL40_T30S,d71d2629c0c7c90848d75bffe80af8ec5f019ba74b6772c062189a21201c6dde,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,2000,4000,,
TP20_SL40_T60S,42297a716fe85cd1488e26d70e9992b62ebea09a223365b7fde8ef23dedbbb03,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,2000,4000,,
TP20_SL40_T120S,9288e28fad07260a1aedf7903b6a81de16d6d880425e7a926fe55943acf014d5,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,2000,4000,,
TP25_SL10_T15S,f58dd7e1d53840fb913cac9bdb1e1ec80fb24a27a3608bb9680dfaa7429de9e9,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,2500,1000,,
TP25_SL10_T30S,ebf7fab8c8d17945d4c996c360f54b4a94442de1dc6fc05e7aa3b5b8dee2fbaa,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,2500,1000,,
TP25_SL10_T60S,69390492eead5df6bdd0a6a1f40bec78a2afd91daa16fc8f01fc127fc0dff53d,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,2500,1000,,
TP25_SL10_T120S,e79a087d573fcaa3246ae1ad3117644b3f0b99a72854cc037754a43a8069d046,TP_SL_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,2500,1000,,
