track_id,actual_reason,window_seconds,threshold_bps,eligible_n,reached_n,reached_rate,median_time_to_threshold_ms,small_cell,eligibility_definition
SENS-C,FALLBACK,30,1000,355,150,0.422535211268,5909.152,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,30,1500,355,125,0.352112676056,6741.128,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,30,2000,355,102,0.287323943662,9087.399,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,30,2500,355,82,0.230985915493,10928.946,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,30,3000,355,80,0.225352112676,10928.946,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,30,4000,355,66,0.185915492958,12042.362,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,30,5000,355,53,0.149295774648,14995.324,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,45,1000,357,169,0.473389355742,7096.623,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,45,1500,357,142,0.397759103641,7863.712,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,45,2000,357,121,0.338935574230,11018.308,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,45,2500,357,98,0.274509803922,13777.825,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,45,3000,357,93,0.260504201681,13841.055,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,45,4000,357,74,0.207282913165,14203.210,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,45,5000,357,61,0.170868347339,17245.970,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,60,1000,361,181,0.501385041551,7863.712,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,60,1500,361,156,0.432132963989,9860.001,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,60,2000,361,129,0.357340720222,12042.362,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,60,2500,361,111,0.307479224377,16074.416,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,60,3000,361,104,0.288088642659,14715.063,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,60,4000,361,83,0.229916897507,16578.413,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,FALLBACK,60,5000,361,67,0.185595567867,17788.557,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,TAKE_PROFIT,5,1000,23,7,0.304347826087,91.002,True,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,TAKE_PROFIT,5,1500,23,5,0.217391304348,397.724,True,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,TAKE_PROFIT,5,2000,23,4,0.173913043478,3311.372,True,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,TAKE_PROFIT,5,2500,23,4,0.173913043478,4083.696,True,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,TAKE_PROFIT,5,3000,23,3,0.130434782609,4129.820,True,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,TAKE_PROFIT,5,4000,23,3,0.130434782609,4140.700,True,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,TAKE_PROFIT,5,5000,23,2,0.086956521739,4766.709,True,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,TAKE_PROFIT,10,1000,23,10,0.434782608696,498.997,True,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,TAKE_PROFIT,10,1500,23,7,0.304347826087,498.997,True,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
SENS-C,TAKE_PROFIT,10,2000,23,5,0.217391304348,3617.886,True,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
