actor_id,actor_kind,dimension,segment,n,small_cell,fills,unresolved,fill_rate,net_pnl_lamports,expectancy_lamports_per_filled_trade,wins,losses,win_rate,equity_label
TP20_T60S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q3,158,False,142,16,0.898734177215,-138587986,-975971.732394,61,81,0.429577464789,REALIZED_CLOSED_EQUITY
TP20_T60S,IN_SAMPLE_CANDIDATE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q4,155,False,139,16,0.896774193548,75820993,545474.769784,70,69,0.503597122302,REALIZED_CLOSED_EQUITY
TP20_T60S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q1,249,False,223,26,0.895582329317,-146638257,-657570.659193,99,124,0.443946188341,REALIZED_CLOSED_EQUITY
TP20_T60S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q2,69,False,60,9,0.869565217391,-95216993,-1586949.883333,28,32,0.466666666667,REALIZED_CLOSED_EQUITY
TP20_T60S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q3,159,False,151,8,0.949685534591,-715798490,-4740387.350993,67,84,0.443708609272,REALIZED_CLOSED_EQUITY
TP20_T60S,IN_SAMPLE_CANDIDATE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q4,158,False,146,12,0.924050632911,135236329,926276.226027,83,63,0.568493150685,REALIZED_CLOSED_EQUITY
TP40_T30S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,00:00-05:59,207,False,196,11,0.946859903382,390251365,1991078.392857,80,116,0.408163265306,REALIZED_CLOSED_EQUITY
TP40_T30S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,06:00-11:59,206,False,191,15,0.927184466019,-1378459432,-7217065.089005,67,124,0.350785340314,REALIZED_CLOSED_EQUITY
TP40_T30S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,12:00-17:59,93,False,89,4,0.956989247312,-198444126,-2229709.280899,31,58,0.348314606742,REALIZED_CLOSED_EQUITY
TP40_T30S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,18:00-23:59,129,False,122,7,0.945736434109,-272612901,-2234531.975410,41,81,0.336065573770,REALIZED_CLOSED_EQUITY
