mint,price_identity,max_return_bps,max_trades_since_t0,max_unique_buyers_since_t0,max_drawdown_depth_bps,max_3s_buys,max_3s_net_flow_reserve_ppm,broad_impulse_reached,broad_impulse_age_ms,broad_impulse_return_bps,broad_impulse_trades,broad_impulse_unique_buyers,broad_pullback_reached,broad_pullback_age_ms,broad_pullback_depth_at_activation_bps,max_pullback_depth_after_broad_impulse_bps,broad_proto_response_reached,broad_proto_response_age_ms,max_rebound_after_pullback_bps,max_3s_buys_after_pullback,max_3s_net_flow_reserve_ppm_after_pullback,max_reclaim_extension_after_proto_response_bps,data_valid_states,data_invalid_states
2Jzrq2qEXJkkBTckPNuvF5EDbRYFF17dUxKuUqjppump,SOL_NATIVE,466,3,3,0,3,46495,False,,,,,False,,,,False,,,,,,3,0
2K9N5Ehbni3mjQsrRjE4TKPP35bM1LkHVjp4xGNSpump,SOL_NATIVE,23,2,1,0,1,1128,False,,,,,False,,,,False,,,,,,2,0
2KDxw2HMzzJsVSBruPzgQHMsGppSrRbvitJ4EQJ4pump,SOL_NATIVE,66,6,2,626,1,-709,False,,,,,False,,,,False,,,,,,6,0
2KMhxpWcmvH46csq91C8UYCPqotXQqhP5umJVXuxpump,SOL_NATIVE,203,40,19,3483,3,35962,False,,,,,False,,,,False,,,,,,40,0
2KY9yt4y7DGQS78RfEJXDuc4t9NHmaLKskL71L1R5N4Y,SOL_NATIVE,0,1,0,0,0,-32212,False,,,,,False,,,,False,,,,,,1,0
2LjXcHzemgaBLvCDscATTZgXdwGQtfdtwLumgfZu9Ts6,SOL_NATIVE,65,2,2,0,2,144595,False,,,,,False,,,,False,,,,,,2,0
2LsVezXHQJR9HbDaCeokSW57N66H94tp77gdBKpApump,SOL_NATIVE,11856,13,2,9967,2,46404,True,11247,1556,2,1,True,82028,2512,9967,True,149683,4231,2,46404,2470,13,0
2LvJkFsmty9MvfvcjvGd5ThevMUoMaH9CKChcftdpump,SOL_NATIVE,1224,11,6,1336,5,127724,True,30486,686,9,5,False,,,198,False,,,,,,11,0
2M2bh7Hb7cRhT972jrEvVJyjEJAcWz57VjXbchzqpump,SOL_NATIVE,451,4,4,0,1,18494,False,,,,,False,,,,False,,,,,,4,0
2MUW4ws73FHu5B5DuBk2ac1s1Rb9UPDZM8Gx5rMDpump,QUOTE:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,8641,40,5,9794,2,35373,True,6686,3818,2,1,True,19311,1814,9794,True,168779,3933,2,35373,1382,40,0
2McG85HREWiJPYQc9Wp1MFbYgLGXvHVaoCTu33vSpump,SOL_NATIVE,52,3,2,519,2,5411,False,,,,,False,,,,False,,,,,,3,0
2NEKYBCdnDkCmA2GvRUx7UMKzSXQR76qvFiJkQmjpump,SOL_NATIVE,1986,19,6,2164,5,74160,True,149242,1071,6,3,True,206247,1214,2164,False,,1,1,70,,19,0
2NHvuf6gN9nQy57VkJgk9ppxj8tKx4AHXCTcNPDwpump,QUOTE:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1674,5,4,0,3,22933,True,39107,1674,5,4,False,,,,False,,,,,,5,0
2NwBvfxqB5aLoXSvXeAb6KGE4Eje6jHAHKuXH5TEpump,SOL_NATIVE,0,1,1,0,1,12187,False,,,,,False,,,,False,,,,,,1,0
2PPbVpUibgpk3Z77vctnGFy7XmjekEKZDJK2kfSSpump,SOL_NATIVE,0,2,0,19,0,-9842,False,,,,,False,,,,False,,,,,,2,0
2PU518aBvGP5utsCPk7q2RUh7ttTd9PUeuoeBWUopump,SOL_NATIVE,2184,23,12,1132,7,90889,True,12760,1031,3,2,True,295818,1132,1132,False,,,,,,23,0
2PfDWTwoxAGePS3aY7Y3vV2FhaJoCQVuQrBtVgSvpump,SOL_NATIVE,0,1,0,0,0,-20524,False,,,,,False,,,,False,,,,,,1,0
2PmSh2PePhFx7hrYm3qdisAkUf6nR8chXkvc9hXHpump,QUOTE:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,1,0,0,0,-1979,False,,,,,False,,,,False,,,,,,1,0
2Po6dkhpraPgfWYq5w7uGdDv8imfL4jMCmxc3bVSpump,SOL_NATIVE,0,2,1,170,1,8533,False,,,,,False,,,,False,,,,,,2,0
2Ps3zK9Gt48qTyJ7uQgmCACrp5QkfLdRccxwkNvdpump,SOL_NATIVE,0,1,0,0,0,-114,False,,,,,False,,,,False,,,,,,1,0
2QRCvcDVa9VPisBNGMoHYRSb7XHS1UdQZGbAEXrfpump,SOL_NATIVE,683,4,3,0,2,31253,True,46366,656,2,2,False,,,0,False,,,,,,4,0
2QUfcqAK5wEzjUDVDqHBqb4zgPkm36rQCEwMDtu4pump,SOL_NATIVE,10180,71,40,6103,9,226003,True,10212,1040,17,12,True,15474,1358,6103,True,18066,8496,7,226003,7400,71,0
2QhCAuKx8Ni13CFYKbUNNh8JQRtS3Gd1h4x7n6Fppump,SOL_NATIVE,0,1,1,0,1,813,False,,,,,False,,,,False,,,,,,1,0
2R55S36qufETgM9FMbGgX99R77NYKCTvcQvAS2nypump,SOL_NATIVE,0,6,0,11,0,-59,False,,,,,False,,,,False,,,,,,6,0
2RJwhPNmop21MB1eD2CnFUeqithiHR8vF4eVLSvtpump,SOL_NATIVE,56,129,15,8756,6,233414,False,,,,,False,,,,False,,,,,,129,0
