mint,price_path_class,price_identity,flow_compatibility,flow_identity_conflict,strategy_error,strategy_final_state,strategy_candidate_compat_only,since_t0_trades,since_t0_sol_buy_lamports,since_t0_sol_sell_lamports,since_t0_quote_buy_raw,since_t0_quote_sell_raw,since_t0_net_flow_raw,since_t0_net_flow_reserve_ppm,sol_legacy_parity
BrkeYUeTjCsNrCtsqv8SiQMcMUZzxpfDbHGU8ngdpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,433191994,0,433191994,-433191994,-13266,True
BrtFjxbryd56QRziBsN18qAcd9iRtrMuDZQF8DVH2ix4,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,10,8790995369,8052161084,8790995369,8052161084,738834285,-16272,True
Bru5SeH8mjuQc8nKCZsfLSLv5oYSo7nrnftQFw3ipump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,IMPULSE_CONFIRMED,False,3,3422222223,0,3422222223,0,3422222223,105978,True
BsHg4R8PhU7nqDF4CD84yd9srpwNjTM4BXMzDc1ia6qT,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,PULLBACK_ACTIVE,False,9,3426172834,2274405132,3426172834,2274405132,1151767702,39710,True
BsRJ2pfLLLx3kfnrPYCXKCo14f1fGk5xHuQWVKEypump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,26173149,0,26173149,-26173149,-771,True
BsYT9eeYUjdNbwJ6PjYCx5H8SHmEcGSupcdLHiKQpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,2,0,536265272,0,536265272,-536265272,-14454,True
BsYrbCAhoWbSi9vbuFk8oYNw1DYjf9qCopo4uKnRpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,455119645,0,455119645,-455119645,-14944,True
BsjQRs35Ej4wX21F2RGxjRjd3P6sd72WQF6AdXn6pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,16211993,0,16211993,-16211993,-3797,True
BtRAgpShx9tSXDDT5opkoDQ6T4tTf1rnJW7dSCCNpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,4,11534137,212943151,11534137,212943151,-201409014,-33867,True
BtVxNTNeU3CWd4ep1ja29dd5xGnXZFeuZiyuQJqopump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,750097953,0,750097953,-750097953,-24847,True
BtZEbrRikLna4ciBfo3ckw8KwPH5aU2Zfu8iyNTEpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,1466666666,0,1466666666,0,1466666666,46610,True
Btfp926uYk6fm6ysRVjHGwCQC8FZiixqiRaKdiZxpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,INVALIDATED,False,52,443277989,944461608,443277989,944461608,-501183619,-214759,True
Btkp9kheswek3VuM96ZKQPGrE6dcxqwLyT53wahZpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,98765431,0,98765431,0,98765431,3237,True
